,Product,Food Group,PRAL Value,,,
,"Parsley, freeze-dried",Vegetables and Vegetable,-108.647,,,
,"spices, coriander leaf, dried",spices and Herbs,-99.4853,,,
,"spices, chervil, dried",spices and Herbs,-92.4,,,
,"spices, basil, dried",spices and Herbs,-85.3627,,,
,"Celery flakes, dried",Vegetables and Vegetable,-84.464,,,
,"spices, parsley, dried",spices and Herbs,-81.4902,,,
,"Radishes, oriental, dried",Vegetables and Vegetable,-74.552,,,
,"spices, dill weed, dried",spices and Herbs,-74.5146,,,
,"spices, tarragon, dried",spices and Herbs,-64.5107,,,
,"Chives, freeze-dried",Vegetables and Vegetable,-59.815,,,
,"Tomatoes,un-dried",Vegetables and Vegetable,-58.3551,,,
,"Spearmint, dried",spices and Herbs,-55.4223,,,
,"Peppers,sweet, green, freeze-dried",Vegetables and Vegetable,-52.33,,,
,"Peppers,sweet, red, freeze-dried",Vegetables and Vegetable,-52.33,,,
,"spices, oregano, dried",spices and Herbs,-49.767,,,
,"spices, marjoram, dried",spices and Herbs,-49.3026,,,
,"seaweed, agar, dried",Vegetables and Vegetable,-46.8031,,,
,"spices, turmeric, ground",spices and Herbs,-46.6693,,,
,"spices,age, ground",spices and Herbs,-46.4983,,,
,"Leeks, (bulb and lower-leaf portion), freeze-dried",Vegetables and Vegetable,-39.016,,,
,Molasses,sweets,-38.554,,,
,"spices, rosemary, dried",spices and Herbs,-37.4338,,,
,"spices, paprika",spices and Herbs,-36.3376,,,
,"spices, thyme, dried",spices and Herbs,-35.4831,,,
,"Peppers, pasilla, dried",Vegetables and Vegetable,-35.3725,,,
,"spices, fennel seed",spices and Herbs,-35.371,,,
,"spices, celery seed",spices and Herbs,-34.7177,,,
,"spices, dill seed",spices and Herbs,-33.1908,,,
,"Apricots, dehydrated (low-moisture),sulphured, uncooked",Fruits and Fruit Juices,-33.071,,,
,"spices, cumin seed",spices and Herbs,-31.9771,,,
,"spices, cloves, ground",spices and Herbs,-31.5888,,,
,"Bananas, dehydrated, or banana",Fruits and Fruit Juices,-29.7609,,,
,"spices, pepper, black",spices and Herbs,-25.3975,,,
,"spices, ginger, ground",spices and Herbs,-24.5502,,,
,"spices, cinnamon, ground",spices and Herbs,-23.7569,,,
,"spices, coriander seed",spices and Herbs,-23.2097,,,
,"Shallots, freeze-dried",Vegetables and Vegetable,-22.754,,,
,"spices, cardamom",spices and Herbs,-22.5736,,,
,"Mushrooms, shiitake, dried",Vegetables and Vegetable,-20.2168,,,
